line_id,class
PPN262,INRA-HA
PPN263,INRA-HA
PPN264,INRA-HA
PPN265,OPV
PPN266,INRA-RHA
PPN267,INRA-HA
PPN268,INRA-HA
PPN269,INRA-HA
PPN270,INRA-HA
PPN271,INRA-RHA
PPN272,INRA-HA
PPN273,INRA-HA
PPN274,INRA-RHA
PPN275,INRA-HA
PPN276,INRA-RHA
PPN277,OPV
PPN278,INRA-RHA
PPN279,INRA-RHA
PPN280,INRA-RHA
PPN281,INRA-RHA
PPN282,INRA-HA
PPN283,INRA-RHA
PPN284,INRA-HA
PPN285,landrace
PPN286,INRA-HA
PPN287,INRA-RHA
PPN288,INRA-RHA
PPN289,HA-NonOil
